0, 448 65 84 1706;
1, 2154 65 0 0;
2, 2154 63 76 134;
3, 2288 63 0 0;
4, 2288 65 93 128;
5, 2416 65 0 0;
6, 2416 71 83 186;
7, 2602 71 0 0;
8, 2602 65 89 182;
9, 2784 65 0 0;
10, 2784 63 80 240;
11, 3024 63 0 0;
12, 3024 69 88 154;
13, 3178 69 0 0;
14, 3178 70 87 166;
15, 3344 70 0 0;
16, 3344 53 77 48;
17, 3392 53 0 0;
18, 3392 65 89 176;
19, 3568 65 0 0;
20, 3568 61 78 405;
21, 3973 61 0 0;
22, 3973 65 89 496;
23, 4469 65 0 0;
24, 4469 71 80 331;
25, 4800 71 0 0;
26, 4800 69 87 138;
27, 4938 69 0 0;
28, 4938 70 86 219;
29, 5157 70 0 0;
30, 5157 65 85 181;
31, 5338 65 0 0;
32, 5338 61 68 214;
33, 5552 61 0 0;
34, 5552 58 83 229;
35, 5781 58 0 0;
36, 5781 60 83 624;
37, 6405 60 0 0;
38, 6405 65 76 331;
39, 6736 65 0 0;
40, 6736 71 81 261;
41, 6997 71 0 0;
42, 6997 53 73 59;
43, 7056 53 0 0;
44, 7056 65 84 96;
45, 7152 65 0 0;
46, 7152 70 80 1610;
47, 8762 70 0 715;
48, 9477 65 100 149;
49, 9626 65 0 0;
50, 9626 71 93 144;
51, 9770 71 0 0;
52, 9770 53 86 48;
53, 9818 53 0 0;
54, 9818 65 97 64;
55, 9882 65 0 0;
56, 9882 69 96 155;
57, 10037 69 0 0;
58, 10037 73 89 165;
59, 10202 73 0 0;
60, 10202 72 97 182;
61, 10384 72 0 0;
62, 10384 66 97 341;
63, 10725 66 0 0;
64, 10725 71 89 176;
65, 10901 71 0 0;
66, 10901 66 94 117;
67, 11018 66 0 0;
68, 11018 70 87 171;
69, 11189 70 0 0;
70, 11189 66 92 96;
71, 11285 66 0 0;
72, 11285 67 91 251;
73, 11536 67 0 0;
74, 11536 70 89 192;
75, 11728 70 0 0;
76, 11728 65 91 181;
77, 11909 65 0 0;
78, 11909 70 87 213;
79, 12122 70 0 0;
80, 12122 69 97 299;
81, 12421 69 0 0;
82, 12421 65 79 171;
83, 12592 65 0 0;
84, 12592 61 78 144;
85, 12736 61 0 0;
86, 12736 58 81 149;
87, 12885 58 0 0;
88, 12885 57 82 128;
89, 13013 57 0 0;
90, 13013 60 82 155;
91, 13168 60 0 0;
92, 13168 65 83 181;
93, 13349 65 0 0;
94, 13349 63 71 181;
95, 13530 63 0 0;
96, 13530 69 94 118;
97, 13648 69 0 0;
98, 13648 70 88 202;
99, 13850 70 0 0;
100, 13850 66 90 166;
101, 14016 66 0 0;
102, 14016 63 82 133;
103, 14149 63 0 0;
104, 14149 59 78 331;
105, 14480 59 0 0;
106, 14480 54 70 186;
107, 14666 54 0 0;
108, 14666 64 79 118;
109, 14784 64 0 0;
110, 14784 59 77 154;
111, 14938 59 0 0;
112, 14938 61 83 160;
113, 15098 61 0 0;
114, 15098 66 79 203;
115, 15301 66 0 0;
116, 15301 63 69 160;
117, 15461 63 0 0;
118, 15461 69 79 181;
119, 15642 69 0 0;
120, 15642 72 83 587;
121, 16229 72 0 0;
122, 16229 70 82 133;
123, 16362 70 0 0;
124, 16362 69 88 155;
125, 16517 69 0 0;
126, 16517 63 68 155;
127, 16672 63 0 0;
128, 16672 60 74 154;
129, 16826 60 0 0;
130, 16826 58 75 171;
131, 16997 58 0 0;
132, 16997 61 75 213;
133, 17210 61 0 0;
134, 17210 65 73 160;
135, 17370 65 0 0;
136, 17370 63 78 166;
137, 17536 63 0 0;
138, 17536 59 74 186;
139, 17722 59 0 0;
140, 17722 54 64 219;
141, 17941 54 0 0;
142, 17941 62 73 811;
143, 18752 62 0 698;
144, 19450 60 89 134;
145, 19584 60 0 0;
146, 19584 61 96 160;
147, 19744 61 0 0;
148, 19744 66 96 144;
149, 19888 66 0 0;
150, 19888 63 91 128;
151, 20016 63 0 0;
152, 20016 69 105 138;
153, 20154 69 0 0;
154, 20154 70 100 160;
155, 20314 70 0 0;
156, 20314 66 105 160;
157, 20474 66 0 0;
158, 20474 63 93 139;
159, 20613 63 0 0;
160, 20613 57 93 197;
161, 20810 57 0 0;
162, 20810 58 94 171;
163, 20981 58 0 0;
164, 20981 54 90 549;
165, 21530 54 0 0;
166, 21530 58 84 155;
167, 21685 58 0 0;
168, 21685 53 90 187;
169, 21872 53 0 0;
170, 21872 51 96 218;
171, 22090 51 0 0;
172, 22090 49 99 699;
173, 22789 49 0 704;
174, 23493 66 103 203;
175, 23696 66 0 0;
176, 23696 63 93 197;
177, 23893 63 0 0;
178, 23893 69 104 128;
179, 24021 69 0 0;
180, 24021 70 102 176;
181, 24197 70 0 0;
182, 24197 73 96 192;
183, 24389 73 0 0;
184, 24389 78 91 171;
185, 24560 78 0 0;
186, 24560 75 99 618;
187, 25178 75 0 0;
188, 25178 65 93 224;
189, 25402 65 0 0;
190, 25402 73 94 955;
191, 26357 73 0 0;
192, 26357 71 89 123;
193, 26480 71 0 0;
194, 26480 73 87 437;
195, 26917 73 0 0;
196, 26917 74 92 171;
197, 27088 74 0 0;
198, 27088 70 91 394;
199, 27482 70 0 0;
200, 27482 72 93 182;
201, 27664 72 0 0;
202, 27664 69 97 117;
203, 27781 69 0 0;
204, 27781 70 94 149;
205, 27930 70 0 0;
206, 27930 67 92 96;
207, 28026 67 0 0;
208, 28026 69 89 139;
209, 28165 69 0 0;
210, 28165 72 86 149;
211, 28314 72 0 0;
212, 28314 71 90 160;
213, 28474 71 0 0;
214, 28474 68 83 96;
215, 28570 68 0 0;
216, 28570 70 86 155;
217, 28725 70 0 0;
218, 28725 67 92 117;
219, 28842 67 0 0;
220, 28842 68 93 123;
221, 28965 68 0 0;
222, 28965 70 88 160;
223, 29125 70 0 0;
224, 29125 69 94 160;
225, 29285 69 0 0;
226, 29285 66 89 155;
227, 29440 66 0 0;
228, 29440 63 85 165;
229, 29605 63 0 0;
230, 29605 69 92 149;
231, 29754 69 0 0;
232, 29754 70 90 230;
233, 29984 70 0 0;
234, 29984 65 83 154;
235, 30138 65 0 0;
236, 30138 60 76 246;
237, 30384 60 0 0;
238, 30384 58 78 261;
