0, 453 65 90 1707;
1, 2160 65 0 0;
2, 2160 63 87 128;
3, 2288 63 0 0;
4, 2288 65 92 128;
5, 2416 65 0 0;
6, 2416 71 84 192;
7, 2608 71 0 0;
8, 2608 65 90 181;
9, 2789 65 0 0;
10, 2789 63 83 235;
11, 3024 63 0 0;
12, 3024 69 87 160;
13, 3184 69 0 0;
14, 3184 70 87 160;
15, 3344 70 0 0;
16, 3344 53 78 53;
17, 3397 53 0 0;
18, 3397 65 90 171;
19, 3568 65 0 0;
20, 3568 61 77 405;
21, 3973 61 0 0;
22, 3973 65 88 501;
23, 4474 65 0 0;
24, 4474 71 82 331;
25, 4805 71 0 0;
26, 4805 69 90 139;
27, 4944 69 0 0;
28, 4944 70 87 213;
29, 5157 70 0 0;
30, 5157 65 84 181;
31, 5338 65 0 0;
32, 5338 61 69 214;
33, 5552 61 0 0;
34, 5552 58 82 234;
35, 5786 58 0 0;
36, 5786 60 85 619;
37, 6405 60 0 0;
38, 6405 65 76 331;
39, 6736 65 0 0;
40, 6736 71 81 266;
41, 7002 71 0 0;
42, 7002 53 73 54;
43, 7056 53 0 0;
44, 7056 65 84 96;
45, 7152 65 0 0;
46, 7152 70 81 1589;
47, 8741 70 0 736;
48, 9477 65 99 149;
49, 9626 65 0 0;
50, 9626 71 92 192;
51, 9818 71 0 0;
52, 9818 65 96 64;
53, 9882 65 0 0;
54, 9882 69 96 160;
55, 10042 69 0 0;
56, 10042 73 90 150;
57, 10192 73 0 0;
58, 10192 72 96 192;
59, 10384 72 0 0;
60, 10384 66 96 341;
61, 10725 66 0 0;
62, 10725 71 89 181;
63, 10906 71 0 0;
64, 10906 66 96 118;
65, 11024 66 0 0;
66, 11024 70 89 170;
67, 11194 70 0 0;
68, 11194 66 93 96;
69, 11290 66 0 0;
70, 11290 67 92 246;
71, 11536 67 0 0;
72, 11536 70 89 192;
73, 11728 70 0 0;
74, 11728 65 91 181;
75, 11909 65 0 0;
76, 11909 70 87 181;
77, 12090 70 0 0;
78, 12090 69 94 331;
79, 12421 69 0 0;
80, 12421 65 79 171;
81, 12592 65 0 0;
82, 12592 61 79 149;
83, 12741 61 0 0;
84, 12741 58 82 149;
85, 12890 58 0 0;
86, 12890 57 82 128;
87, 13018 57 0 0;
88, 13018 60 83 150;
89, 13168 60 0 0;
90, 13168 65 83 181;
91, 13349 65 0 0;
92, 13349 63 70 181;
93, 13530 63 0 0;
94, 13530 69 93 118;
95, 13648 69 0 0;
96, 13648 70 88 202;
97, 13850 70 0 0;
98, 13850 66 90 171;
99, 14021 66 0 0;
100, 14021 63 83 128;
101, 14149 63 0 0;
102, 14149 59 79 331;
103, 14480 59 0 0;
104, 14480 54 71 192;
105, 14672 54 0 0;
106, 14672 64 82 117;
107, 14789 64 0 0;
108, 14789 59 80 149;
109, 14938 59 0 0;
110, 14938 61 83 160;
111, 15098 61 0 0;
112, 15098 66 78 203;
113, 15301 66 0 0;
114, 15301 63 69 160;
115, 15461 63 0 0;
116, 15461 69 81 181;
117, 15642 69 0 0;
118, 15642 72 83 587;
119, 16229 72 0 0;
120, 16229 70 82 139;
121, 16368 70 0 0;
122, 16368 69 88 149;
123, 16517 69 0 0;
124, 16517 63 69 160;
125, 16677 63 0 0;
126, 16677 60 75 149;
127, 16826 60 0 0;
128, 16826 58 75 171;
129, 16997 58 0 0;
130, 16997 61 75 213;
131, 17210 61 0 0;
132, 17210 65 71 160;
133, 17370 65 0 0;
134, 17370 63 77 171;
135, 17541 63 0 0;
136, 17541 59 76 181;
137, 17722 59 0 0;
138, 17722 54 64 224;
139, 17946 54 0 0;
140, 17946 62 76 811;
141, 18757 62 0 693;
142, 19450 60 89 139;
143, 19589 60 0 0;
144, 19589 61 96 160;
145, 19749 61 0 0;
146, 19749 66 98 139;
147, 19888 66 0 0;
148, 19888 63 90 128;
149, 20016 63 0 0;
150, 20016 69 105 138;
151, 20154 69 0 0;
152, 20154 70 99 160;
153, 20314 70 0 0;
154, 20314 66 104 160;
155, 20474 66 0 0;
156, 20474 63 93 139;
157, 20613 63 0 0;
158, 20613 57 93 203;
159, 20816 57 0 0;
160, 20816 58 94 170;
161, 20986 58 0 0;
162, 20986 54 92 544;
163, 21530 54 0 0;
164, 21530 58 84 160;
165, 21690 58 0 0;
166, 21690 53 91 182;
167, 21872 53 0 0;
168, 21872 51 95 224;
169, 22096 51 0 0;
170, 22096 49 100 693;
171, 22789 49 0 704;
172, 23493 66 101 203;
173, 23696 66 0 0;
174, 23696 63 93 202;
175, 23898 63 0 0;
176, 23898 69 105 128;
177, 24026 69 0 0;
178, 24026 70 102 171;
179, 24197 70 0 0;
180, 24197 73 95 192;
181, 24389 73 0 0;
182, 24389 78 91 171;
183, 24560 78 0 0;
184, 24560 75 97 618;
185, 25178 75 0 0;
186, 25178 65 94 224;
187, 25402 65 0 0;
188, 25402 73 94 960;
189, 26362 73 0 0;
190, 26362 71 91 118;
191, 26480 71 0 0;
192, 26480 73 87 437;
193, 26917 73 0 0;
194, 26917 74 92 171;
195, 27088 74 0 0;
196, 27088 70 89 394;
197, 27482 70 0 0;
198, 27482 72 93 182;
199, 27664 72 0 0;
200, 27664 69 96 117;
201, 27781 69 0 0;
202, 27781 70 94 149;
203, 27930 70 0 0;
204, 27930 67 93 96;
205, 28026 67 0 0;
206, 28026 69 90 139;
207, 28165 69 0 0;
208, 28165 72 86 149;
209, 28314 72 0 0;
210, 28314 71 90 160;
211, 28474 71 0 0;
212, 28474 68 84 96;
213, 28570 68 0 0;
214, 28570 70 89 160;
215, 28730 70 0 0;
216, 28730 67 93 118;
217, 28848 67 0 0;
218, 28848 68 93 117;
219, 28965 68 0 0;
220, 28965 70 88 160;
221, 29125 70 0 0;
222, 29125 69 93 160;
223, 29285 69 0 0;
224, 29285 66 89 160;
225, 29445 66 0 0;
226, 29445 63 86 160;
227, 29605 63 0 0;
228, 29605 69 91 149;
229, 29754 69 0 0;
230, 29754 70 90 235;
231, 29989 70 0 0;
232, 29989 65 86 149;
233, 30138 65 0 0;
234, 30138 60 76 246;
235, 30384 60 0 0;
236, 30384 58 79 266;
237, 30650 58 0 0;
238, 30650 65 82 1024;
239, 31674 65 0 896;
240, 32570 65 95 331;
241, 32901 65 0 0;
242, 32901 66 102 192;
243, 33093 66 0 0;
244, 33093 63 93 160;
245, 33253 63 0 0;
246, 33253 69 101 107;
247, 33360 69 0 0;
248, 33360 70 97 160;
249, 33520 70 0 0;
250, 33520 65 101 128;
251, 33648 65 0 0;
252, 33648 61 92 384;
253, 34032 61 0 0;
254, 34032 58 87 224;
255, 34256 58 0 0;
256, 34256 60 91 192;
257, 34448 60 0 0;
258, 34448 65 94 181;
259, 34629 65 0 0;
260, 34629 63 88 181;
261, 34810 63 0 0;
262, 34810 59 89 1494;
263, 36304 59 0 0;
264, 36304 65 82 288;
265, 36592 65 0 0;
266, 36592 59 88 234;
267, 36826 59 0 0;
268, 36826 65 89 256;
269, 37082 65 0 0;
270, 37082 59 88 192;
271, 37274 59 0 0;
272, 37274 65 84 235;
273, 37509 65 0 0;
274, 37509 59 79 203;
275, 37712 59 0 0;
276, 37712 60 87 181;
277, 37893 60 0 0;
278, 37893 54 74 181;
279, 38074 54 0 0;
280, 38074 60 85 118;
281, 38192 60 0 0;
282, 38192 55 69 149;
283, 38341 55 0 0;
284, 38341 57 81 117;
285, 38458 57 0 0;
286, 38458 61 89 128;
287, 38586 61 0 0;
288, 38586 60 85 128;
289, 38714 60 0 0;
290, 38714 57 70 150;
291, 38864 57 0 0;
292, 38864 64 84 117;
293, 38981 64 0 0;
294, 38981 60 82 149;
295, 39130 60 0 0;
296, 39130 63 81 224;
297, 39354 63 0 0;
298, 39354 69 84 203;
299, 39557 69 0 0;
300, 39557 63 77 171;
301, 39728 63 0 0;
302, 39728 69 85 170;
303, 39898 69 0 0;
304, 39898 75 77 192;
305, 40090 75 0 0;
306, 40090 76 78 182;
307, 40272 76 0 0;
308, 40272 74 74 288;
309, 40560 74 0 0;
